Iteration,Heuristic Value,Restarted,Inner Iteration,Time
1,2,0,1,6.0000
2,4,0,2,12.0000
3,6,0,3,18.0000
4,8,0,4,23.0000
5,10,0,5,28.0000
6,12,0,6,34.0000
7,14,0,7,37.0000
8,15,0,8,45.0000
9,17,0,9,51.0000
10,18,0,10,56.0000
11,19,0,11,61.0000
12,20,0,12,67.0000
13,21,0,13,73.0000
14,22,0,14,80.0000
15,23,0,15,85.0000
16,24,0,16,91.0000
17,25,0,17,97.0000
18,26,0,18,103.0000
19,27,0,19,108.0000
20,28,0,20,113.0000
21,29,0,21,116.0000
22,30,0,22,126.0000
23,31,0,23,132.0000
24,32,0,24,138.0000
25,33,0,25,144.0000
26,33,0,26,146.0000
27,33,0,27,156.0000
28,33,0,28,162.0000
29,33,0,29,166.0000
30,2,1,1,174.0000
31,4,1,2,182.0000
32,6,1,3,188.0000
33,8,1,4,194.0000
34,9,1,5,200.0000
35,10,1,6,203.0000
36,11,1,7,210.0000
37,12,1,8,218.0000
38,13,1,9,225.0000
39,14,1,10,231.0000
40,15,1,11,237.0000
41,16,1,12,243.0000
42,18,1,13,250.0000
43,19,1,14,253.0000
44,20,1,15,261.0000
45,22,1,16,267.0000
46,23,1,17,273.0000
47,24,1,18,279.0000
48,25,1,19,285.0000
49,26,1,20,291.0000
50,27,1,21,297.0000
51,28,1,22,303.0000
52,29,1,23,309.0000
53,30,1,24,315.0000
54,31,1,25,321.0000
55,32,1,26,323.0000
56,33,1,27,333.0000
57,34,1,28,333.0000
58,35,1,29,345.0000
59,36,1,30,356.0000
60,37,1,31,361.0000
61,37,1,32,363.0000
62,37,1,33,375.0000
63,37,1,34,381.0000
64,38,1,35,383.0000
65,39,1,36,393.0000
66,39,1,37,393.0000
67,3,2,1,406.0000
68,5,2,2,412.0000
69,7,2,3,413.0000
70,9,2,4,423.0000
71,11,2,5,424.0000
72,13,2,6,434.0000
73,14,2,7,435.0000
74,15,2,8,445.0000
75,16,2,9,446.0000
76,17,2,10,455.0000
77,18,2,11,455.0000
78,19,2,12,467.0000
79,20,2,13,473.0000
80,22,2,14,479.0000
81,23,2,15,483.0000
82,24,2,16,491.0000
83,25,2,17,493.0000
84,26,2,18,502.0000
85,27,2,19,508.0000
86,28,2,20,513.0000
87,29,2,21,513.0000
88,30,2,22,524.0000
89,31,2,23,524.0000
90,33,2,24,533.0000
91,34,2,25,543.0000
92,35,2,26,543.0000
93,36,2,27,553.0000
94,37,2,28,553.0000
95,38,2,29,564.0000
96,39,2,30,573.0000
97,40,2,31,576.0000
98,41,2,32,587.0000
99,42,2,33,593.0000
100,43,2,34,593.0000
101,44,2,35,606.0000
102,44,2,36,612.0000
103,44,2,37,613.0000
104,44,2,38,624.0000
105,44,2,39,631.0000
106,44,2,40,637.0000
107,2,3,1,643.0000
108,4,3,2,645.0000
109,6,3,3,655.0000
110,7,3,4,663.0000
111,8,3,5,667.0000
112,9,3,6,673.0000
113,10,3,7,684.0000
114,12,3,8,690.0000
115,13,3,9,693.0000
116,14,3,10,704.0000
